5612. емисија
84. циклус
8. емисијa
10. 05. 2014.
https://list=UUPYHhBsZpnBFOiiM5mfDf9w&index=1691


А1 - ГОЛУБ
А2 - ПАКЕТ
А3 - МАРКА
А4 - САНДУЧЕ
 А - ПОШТА
Б1 - ПРОЗОР
Б2 - ОКО
Б3 - ЗАКЛОПАЦ
Б4 - СПУШТЕНИ
 Б - КАПАК
В1 - ТЕЈЛОРОВ
В2 - ВИТЕШКИ
В3 - КУЋНИ
В4 - ВОЗНИ
 В - РЕД
Г1 - УПАЉАЧ
Г2 - СВЕЋИЦЕ
Г3 - СПОРО
Г4 - ЕЛЕКТРОНСКО
 Г - ПАЉЕЊЕ
??? - ШАЛТЕР

А1 - ДИЗЕЛ
А2 - ВАГОНИ
А3 - ЗВИЖДУК
А4 - МАШИНОВОЂА
 А - ЛОКОМОТИВА
Б1 - АСФАЛТ
Б2 - ПЕГЛАЊЕ
Б3 - КРЕЧЕЊЕ
Б4 - ЦИЛИНДАР
 Б - ВАЉАК
В1 - ШПОРЕТ
В2 - ЧОРБА
В3 - ВЕШ
В4 - ОДБОЈКА
 В - КУВАЊЕ
Г1 - ЗАВЕСА
Г2 - КОТЛИНЕ
Г3 - ГУСКЕ
Г4 - ГУСТА
 Г - МАГЛА
??? - ПАРА
